paragraph,questions
"And if we believe in that assumption, then the maximum likelihood principle tells us that we need to minimize the squared loss, right? And similarly over here, um, if we make a generalized, uh- if we assume that our data is from a generalized linear model where the exponential family is- is- is Gaussian, then our hypothesis should be, you know, uh- maybe I erased it.
Our hypothesis should be just Theta transpose x.
You know, which is basically the, um- um- um, linear, uh- uh, linear regression hypotheses.
And if you perform maximum likelihood expectation on your, uh, generalized linear model, then you get the squared loss as well.","So, Y(i)'s that we are given(Dependent variable) are nothing but different points (points that are determined by 'eeta') of an exponential family(Gaussian for Linear Regression). In our case h(x; teta) will be a linear combination of x values because we assumed the distribution to be Gaussian. What if, in reality Y(i) does not follow Gaussian distribution and has some deviations. Will developing a regression make sense in that case?"
"And that large tuple, I'm then assigning it to my own tuple in my program.
And then I'm just writing out-- printing out some statement here.
So I'm getting the minimum year, the maximum year, and then the number of people.
So I can show you that it works if I replace one of these names with another one that I already have in here.
So instead of writing a song about five people, she would have wrote a song about four people.
Yay, it worked.",What does that \ do after max year?
"So it probably will take me years to play enough hands to actually get a good estimate, and I don't want to do that.
So he said, well, suppose instead of playing the game, I just simulate the game on a computer.
He had no idea how to use a computer, but he had friends in high places.
And actually talked to John von Neumann, who is often viewed as the inventor of the stored program computer.
And said, John, could you do this on your fancy new ENIAC machine? And on the lower right here, you'll see a picture of the ENIAC.
It was a very large machine.
It filled a room.
And von Neumann said, sure, we could probably do it in only a few hours of computation.","Thanks Professor. I have a doubt. With a mathematical model, I have estimated aircraft parameters using the extended Kalman filter. Now I have to verify whether the proposed system is robust against uncertainties. I have estimated data and true sensor data. How can I do Monte Carlo analysis with this information? I am not using any physical model of the aircraft but I am using Kinematic relationships of the aircraft i.e Kinematic model. How to perform the Monte Carlo analysis of my FDD algorithm using MS-excel or matlab? Could you please reply me out on this?
Only one question how does the computer randonize numbers and is that consistantly random!!! Just asking and it may not matter that much with a large number of trials it would probable even out...
i have one question, for simulation we used different softwares, which method (discrete, continuous or Monte Carlo) is used in CST ( computer simulation technology)
Can anyone make me understand the programming language and concept used at 14.00
The computer program is no really random as the random samples are generated using psuedo-random generators.
What is the purpose of the MC simulation? Where is the advantage if a user implements it? Whatever advantage it serves for the user (gambler), isn't there any equal advantage to the house?"
"We can do some analysis for both of the merge sort that we're going to do now and for the tiling puzzle, once we get to that.
But that's something to keep in mind.
So merge sort is the canonical recursive divide and conquer approach.
And I'll put up code for it, but I'm not going to show it to you.
You can look at it in the website.
But I'm going to describe the algorithm to you using a trivial example.
And so I want to sort these numbers in ascending order.
So I have these four numbers that I want to sort in ascending order.
And obviously, I could do this many different ways.",the merge sort code shown only works on arrays are a length of a power of 2. Adding another condition for len(L) == 1 in mergeSort that returns a single element array and a 2 element array will take care of the general case. Otherwise you'll get stuck in an endless recursion loop since it can't handle the base case of a 3 element array.
"So the most interesting part is what happens if data attempts to exfiltrate itself.
So essentially, TaintDroid can sit at the network interfaces and they can see everything that tries to go over the network interface.
We actually look at the taint tags there and we can say if data that's trying to leave the network has one or more taint flags, then we will say no.
That data will not be allowed to go in the network.
Now what happens at that point is actually kind of application-dependent.
You could imagine that TaintDroid shows an alert to the user which says hey, somebody's trying to send your location over the network.",I'm not sure if the purpose of TaintDroid is to protect users from malicious apps or help the developer to protect his users.
"I'm not even sure why we're devoting our lecture to this, because it's clear that what we're trying to do is we're trying to take our weights and our thresholds and adjust them so as to maximize performance.
So we can make a little contour map here with a simple neural net with just two weights in it.
And maybe it looks like this-- contour map.
And at any given time we've got a particular w1 and particular w2.
And we're trying to find a better w1 and w2.
So here we are right now.
And there's the contour map.
And it's a 6034.
So what do we do? AUDIENCE: Climb.
PATRICK WINSTON: Simple matter of hill climbing, right? So we'll take a step in every direction.
If we take a step in that direction, not so hot.
That actually goes pretty bad.
These two are really ugly.
Ah, but that one-- that one takes us up the hill a little bit.
So we're done, except that I just mentioned that Hinton's neural net had 60 million parameters in it.
So we're not going to hill climb with 60 million parameters because it explodes exponentially in the number of weights you've got to deal with-- the number of steps you can take.
So this approach is computationally intractable.
Fortunately, you've all taken 1801 or the equivalent thereof.
So you have a better idea.
Instead of just taking a step in every direction, what we're going to do is we're going to take some partial derivatives.
And we're going to see what they suggest to us in terms of how we're going to get around in space.
So we might have a partial of that performance function up there with respect to w1.
And we might also take a partial derivative of that guy with respect to w2.","Is Conway's Game of Life hard to do with neural nets?
why does he say starting with the same weights, they would stay the same? They won't have the same derivative since one of them goes through an extra sigmoid function.
I don't quite get the last point: the computation with respect to width is w^2 (width squared).Can someone explain?"
"But we'll think about it as though we could.
Let's think about this matrix again.
So suppose A is this set of elements, a, b, s, t, d, e.
I'm scrambling up the alphabet on purpose, because I don't want you to get the idea that we're assuming that A is countable, that you can list all the elements of A.
I'm not assuming that.
But I'm just writing out a sample of elements of A.
And let's suppose that I was trying to get a surjection from A to the power set of A.
So suppose I have a function f that maps each of the successive elements of A to some subset of A.",how do we know that the set D is not empty?
"ROFESSOR: [INAUDIBLE].
""Thus Spake Zarathustra"" was made famous and popular by 2001.
And that is music played at this magic moment when some primate suddenly gets an idea, presumably one of our ancestors.
So how do we explain all that? We've got all of the ingredients on the table.
And today I want to talk about various ways of putting those ingredients together.
So we talked about representations, we've talked about methods, and today we're going to talk about architectures.
And by the end of the class you'll know how to put one of those things together.
Actually, no one knows how to put one of those things together.
But what you will know is about some alternatives for putting those things together so as to make something that is arguably intelligent in the same way we are.",What was the topic covered in Lecture 20??
"So it means that nodes that have higher degree, uh, will be more likely to be chosen as a negative sample.
Um, there are two considerations for picking k in practice, which means number of negative samples.
Higher values of k will give me more robust estimate.
Uh, but higher values of K also correspond, uh, to, uh, to more, uh, to more sampling again, to higher bias on negative events.
So what people tend to choose in practice is k between 5 and 20.
And if you think about it, this is a very small number.","I had a quick question. Do you generate the negative samples every epoch, and then use them for each node, or do you generate new negative samples for every single node you sample in every generation?
What do you mean by the negative examples in negative sampling?
 I don't think that's entirely correct, as neighbouring nodes are positive samples, similarly to word2vec where context words are ""positive samples"". Negative sampling samples from the negative examples, in this case nodes that are NOT neighbors to the central node.
To my understanding: The loss has two terms: 1, (z_u, z_v) corresponding to the positive example (neighbor and central node's similarity) 2, (z_u, z_ni where z_ni are elements of the negative samples i = 1,...,k) corresponding to the selected k negative samples. The loss can be optimized by either increasing term 1 or decreasing term 2. Now, if k is increased, the sum in term2 will have more elements and that part will have more weight, resulting in stronger emphasis on the negative samples, that is, the mapping will be adjusted so that the similarity to the negative examples are smaller. This way there will be a higher bias for negative events, as the loss will punish greater values for similar non-neigbor nodes, that it will reward similar neighbor nodes."
"So this graph is trying to determine-- this is a flow network to determine if team 5, Detroit, is eliminated.
This is just the flow network.
I'm going to have a bunch of edges.
I'm going to just draw this once and we'll be moving things around on this.
2 to 3, 1 to 4, 2 to 4, and lastly 3 to 4.
And the reason you don't see 5 here is because this is an analysis for team 5.
So the other 4 teams show up here.
They have edges going to t.
s is over here, and it's got a bunch of edges going to all of these nodes.","The capacities of inner edges (between the ""team-pairs"" layer and ""teams"" layer) are irrelevant and so are set to infinity. Each of these edges indicates the number of games a particular team won when playing against some other team (for example, flow through edge ""1-2"" -> ""1"" shows how many times Team 1 won while playing against Team 2). Clearly, the flow through each of these edges is bounded by the number of games each team-pair has to play. Since these numbers are already specified as capacities of source-edges and sink-edges, they effectively restrict max flow that can go through inner edges. Thus, there is simply no need to put additional restrictions on inner-edge capacities."
"So that motivates the idea that we can think about the left-hand circuit as some kind of a generic part.
We call that generic part a one-port.
Think about this circuit on the left-- the thing that's in the red box-- it's got at its terminals-- the terminals are the things that poke through the red box.
First off it has two terminals, two terminals is just like all of our other parts.
And it's like a resistor, it's like a voltage source, it's like a current source, it's a two terminal device.
And just like a voltage source or a resistor or a current source, there's some voltage across those terminals, and there's some current that flows in those terminals.
So there's some current that goes in the plus.
And that same current comes out the minus.
That'll be true for this circuit, just the same as it's true for a resistor or voltage source or anything else, the only difference is, the thing that's inside the box-- the thing that's inside the one-port-- is more complicated than it was for a simple resistor or voltage source or current source.
So what we can think about, is this whole red box just looks like a super part.
So the interesting thing that happens is, this red box behaves like a one-port, like a super part.
And just like a resistor has a relationship between V and I, V equals IR, Or a voltage source has some kind of a constraint, V equals V0.",I didn't quite get how is current in second branch is 4A. Can someone explain it or give a resoure to figure that out?
"So here, you can see that most of the probability mass is on the first word.
And that kinda makes sense because our first word essentially means ""he"" and, uh, were gonna be producing the word ""he"" first in our target sentence.
So once we've got this attention distribution, uh, we're going to use it to produce something called the attention output.
So the idea is that the attention output is a weighted sum of the encoder hidden states and the weighting is the attention distribution.
So I've got these dotted arrows that go from the attention distribution to the attention output, probably there should be dotted arrows also from the encoder RNN but that's hard to depict.
[NOISE] But the idea is that you're summing up these encoder RNN, uh, hidden states, [NOISE] but you're gonna weight each one according to how much attention distribution it has on them.
So this means that your attention output which is a single vector is going to be mostly containing information from the hidden states that had high attention.
In this case, it's gonna be mostly information from the first hidden state.
So after you do this, you're going to use the attention output to influence your prediction of the next word.
So what you usually do is you concatenate the attention output with your decoder hidden state and then, uh, use that kind of concatenated pair in the way you would have used the decoder [NOISE] hidden state alone before.","Number of encoders is fixed, and inputs are given directly to encoders, then how variable length of sentences is taken care? Also only after traversing through the whole input sentence, the vector is passed to decoder network, in this case how attention mechanism is captured if size of encoder is fixed but sentence is of variable length??"
"Because initially everything is none.
But when we're inserting, we never empty a structure.
Now we're doing delete.
This is the one situation when v dot min becomes none from scratch.
In that case, no recursive calls.
So that means this algorithm is efficient.
Because if I had to delete from the summary structure, this only had a single item, which is this situation.
Then I just set v dot min equals to none.
And I'm done.
So this will, overall, run in log log u time.
Now, it could be we're deleting the min, but it was not the only item.
So that's this situation.
In that situation, we want to find out what the min actually is.","recursion in insert operation is not necessary since we can do it in constant time, I don't understand why he use recursion during insertion operation
here's my implementation in python. I am thinking that space complexity can be further reduced. But right now I am not able to do it. https://github.com/pctablet505/van-Emde-Boas-Tree/blob/master/van%20Emde%20Boas%20Tree%20O(n(log(log(u))))%20space%20.py there were few lines missing in the delete algorithm given in the book. it missed the lines: if self.min==None: return if x<self.min or x>self.max: return
i have question.. so we are basically having 3 layer ( 1. space O(u) the leaf part/// 2. the OR operation part(middle thing O(rootu))/// 3. summary) in every tree level? or do i have just ""one"" tree level made of 3 layer i think former is right because otherwise we don't need to consider recursion time complexity..?
You could do it in constant time on the initial data structure (the bit vector) but then you wouldn't have access to a summary vector that allows you to do the successor operation in O(log log u), and to efficiently consult the summary, it needs to have a summary, and so on But that means you need to insert into the summary too, which may need to insert into its summary, etc. Thus the need for recursion. Remember that the point of this data structure is the successor operation : we already have performant data structures for the insert and delete operations."
"Dead trivial, well, that trivial is unfair, but it's very simple.
Right? I simply write something, so let me describe it, I need to say how big of tower am I moving and I'm going to label the three stacks a from, a to, and a spare.
I have a little procedure that just prints out the move for me, and then what's the solution? If it's just a stack of size one, just print the move, take it to from-- from from to to.
Otherwise, move a tower of size n minus 1 from the from spot to the spare spot, then move what's left of tower size one from to two, and then take that thing are stuck on spare and move it over to two, and I'm done.
In that code that we handed out, you'll see this code, you can run it.
I'm not going to print it out because, if I did, you are just going to say, OK, it looks like it does the right kind of thing.
Look at the code, nice and easy, and that's what we like you to do when you're given a problem.
We asked you to think about recursively.","I am so confused about the tower thing
Would inclusion in the lecture of the 'call stack' or Python's symbol table concept help explain recursion? As you recursively call the function object's return value, the frames get 'popped' off the stack (symbol table on Python I think?) Sorry, self-taught. Still learning every day.
Hold up. Nice lecture but I'm not satisfied with the solution to the Towers of Hanoi exercise: You changed the rules. That would be the obvious solution, but the premise of the challenge was that the priests could only move one disc at a time (like the river crossing problem). Isn't that the whole point?
In his Towers of Hanoi code, I can figure out the process when n==1 and n==2, but I can't figure out steps in the process when n==3 or more. I think he wants us to think of it recursively: if it is true for smaller versions of the problem, then it is true for the bigger version of the problem and the code turns out to be true when n==3
One can think n==0 as base case. Which was not considered as it is preceded by n==0 base case in the lecture. One can re-write code assuming n==0 as base case."
"And what we want to do is we want to find f of x equals to This is in general a hard and intractable problem.
Sometimes it will work, sometimes it won't work.
If it were really nasty function, if it's continuous, great.
So why does this have anything to do with what we care about? Just as an aside.
Remember your thinking here.
If you want to minimize, say, l theta and it's convex or has a nice shape, that's the same as l prime theta equals 0, sorry if that's too small, right? So if I want to minimize something, it's the same as finding the roots of its derivative, right? Assuming it's convex both shape.
So they're related clearly.
All right.
So how does this thing actually work? So the idea here is-- and probably you've seen this method at some point.","Quick question! In newtons method we find a point where lprime theta =o. But what if the equation is not quadratic which makes it not covex anymore?
thnx for the response. If so whats the point of finding a point where l prime theta = 0 if that point can be any of the local minima?"
"So this, this is some function, right? This thing is a function of the data as well as a function of the parameters theta.
And if you view this number, whatever this number is, if you view this thing as a function of the parameters holding the data fixed, then we call that the likelihood.
So if you think of the training set the data as a fixed thing, and then varying parameters theta, then I'm going to use the term likelihood.
Whereas if you view the parameters theta as fixed and maybe varying the data, I'm gonna say probability, right? So, so you hear me use- well, I'll, I'll try to be consistent.
I find I'm, I'm pretty good at being consistent but not perfect, but I'm going to try to say likelihood of the parameters, and probability of the data even though those evaluate to the same thing as just, you know, for this function, this function is a function of theta and the parameters which one are you viewing as fixed and which one are you viewing as, as variables.
So when you view this as a function of theta, I'm gonna use this term likelihood.
Uh, but- so, so hopefully you hear me say likelihood of the parameters.
Hopefully you won't hear me say likelihood of the data, right? And, and similarly, hopefully you hear me say probability of the data and not the probability of the parameters, okay? Yeah.",Can you guys help me out ? I can't get my head around likelihood of theta thing ....why this is equal to product of probabilities of Y
"If we plug in a Bernoulli, then this will turn out to be the same hypothesis that we saw in logistic regression, and so on, right.
So, uh, one way to kind of, um, visualize this is, right.
So one way to think of is, of- if this is, there is a model and there is a distribution, right.
So the model we are assuming it to be a linear model, right.
Given x, there is a learnable parameter Theta, and Theta transpose x will give you a parameter, right.
This is the model, and here is the distribution.
Now, the distribution, um, is a member of the exponential family.
And the parameter for this distribution is the output of the linear model, right.
This, this is the picture you want to have in your mind.
And the exponential family, we make, uh, depending on the data that we have.
Whether it's a, you know, whether it's, uh, a classification problem or a regression problem or a time to vent problem, you would choose an appropriate b, a and t, uh, based on the distribution of your choice, right.
So this entire thing, uh, a-and from this, you can say, uh, get the, uh, expectation of y given Eta.
And this is the same as expectation of y given Theta transpose x, right.
And this is essentially our hypothesis function.","Bernoulli distribution is for discrete random variable, PMF is defined for Discrete random variable"
"If you know how many you want, it's a good choice because it's much faster.
All right, the algorithm, again, is very simple.
This is the one that Professor Grimson briefly discussed.
You randomly choose k examples as your initial centroids.
Doesn't matter which of the examples you choose.
Then you create k clusters by assigning each example to the closest centroid, compute k new centroids by averaging the examples in each cluster.
So in the first iteration, the centroids are all examples that you started with.
But after that, they're probably not examples, because you're now taking the average of two examples, which may not correspond to any example you have.
Actually the average of N examples.
And then you just keep doing this until the centroids don't move.
Right? Once you go through one iteration where they don't move, there's no point in recomputing them again and again and again, so it is converged.","Pretty sure he is talking about the number of comparisons which need to occur to create the group, n-squared meaning the number of comparisons is on the order of the square of the number of objects to compare, and n-cubed on the order of the cube of the number of objects to compare. Sort of like big-O notation.
what is the average of examples in the same cluster?"
"Those are some things that it thinks are a school bus.
So it appears to be the case that what is triggering this school bus result is that it's seeing enough local evidence that this is not one of the other 999 classes and enough positive evidence from these local looks to conclude that it's a school bus.
So do you see any of those things? I don't.
And here you can say, OK, well, look at that baseball one.
Yeah, that looks like it's got a little bit of baseball texture in it.
So maybe what it's doing is looking at texture.","a question what does he mean by positive and negative examples?
When it guesses the wrong thing (school bus on black and yellow stripes) isn't the ""real problem"" there that it doesn't have enough data or good enough data?"
"Now, what's going to make this manageable is that this expression, the expectation of f squared when f is greater than 1, will turn out to be something that we can easily convert into a nonconditional probability, and find a value for.
So the limit that we're using here is the following.
What I'm thinking about in mean time to failure-- if I think of any function whatsoever, g of the mean time to failure.
And I'm interested in the expectation of g of f, And I'm interested in the expectation of g of f, given that f is greater than n.
That is, it's already taken n steps to get where I am.
Then the thing about the mean time to failure is that at any moment that you haven't failed, you're starting off in essentially the same situation you were at the beginning in waiting for the next failure to occur.
And the probability of failing in one more step is the same probability-- is the same p.
And the probability of you're failing in two more steps is qp, and three more steps is qqp.
The only difference is that the value of f has been shifted by n.
In the ordinary case, we start off with f equals 0 and look at the probability that we fail in one more step, two more steps.
Now we're starting off with f having the value f plus n, and asking about the probability that it fails in the next step or the next step, or the next step.
So the punchline is that the expectation of g of f, given that f is greater than n, is simply the expectation of g of f plus n.","Hi, I think the formula here was Markov's one, not Chebyshev's one Pr[R >= c * E(R) ] <= 1 / c then we will have <= 1/4"
"All these things are too small to read.
Let me make it a little bigger.
Too small to read, but that number on the right there is not the product of the probabilities, actually.
It's the sum of the logarithms of the probabilities.
They go together, right? And the reason you use this instead of the probabilities is because these numbers get so small that was a 32-bit machine, you eventually lose.
So use the log of the probabilities rather than the product of the probabilities.
You use the sum of the logs instead of the product of the probabilities.
And eventually, you hope that this thing converges on the correct interpretation.
But you know what? This thing is so flat as a space and so a large and so telephone pole-like that it's full of local maxima.","Thank you Prof.Winston for this lecture. starting minute 38 the professor shows that multiplying the probabilities of heads and tails will get us to a point where the probability of the fair coin is bigger (if we get an equal number of heads and tails). However, on each new sample this number will get smaller and smaller since we are multiplying fractions. however, later on in the demonstration (5 coins) i noticed that the probability of the right coin is getting increased till it hits 1. I didn't understand this part, if anyone can explain what happened i would appreciate it?"
"Right? Yeah, I just plugged that in.
Of course, plus our theta n term.
Now, what's the sum of this guy? Any guesses? n square? n cube? or n? OK.
It's probably a messy.
More cleanly, I can pull this B out.
It's just the sigma of j if I change my sum, decrease the range of sum by 1.
What is the sigma some of j? What order first? AUDIENCE: n square.
LING REN: n square.
OK.
Yeah, definitely n square.
But we need to be a little bit more precise than that.
So what's the coefficient before the n square? So I claim this coefficient is 3 over 8.
Can anyone see that? AUDIENCE: Why did you assume that the expected value is theta n.
LING REN: Oh, that's just a guess.
If it's wrong, we'll have to assume something else, which we'll see in the next example.
But good question.
OK.
Yeah.
Let me ask the question again.
I claim this sum is roughly 3 over 8 n square.
Can anyone see that? Any ideas? So I don't know how to calculate this term.
But I do know how to calculate sigma from 1 to n, right? This is easy.
What's that? It's half of n, n minus 1.","seems missing the probability Pr(j) term
why does the summation of j from ceiling(n/2)-1 to n-1 equal n^2 times a constant??? Is it because we're replacing the summation with the closed form of the summation?"
"And if they are correct, then I have a pretty good idea that I have in fact identified the object on the right as either an obelisk or an organ, depending on which of the model choices and the unknown choices I've selected.
So the only thing I have left to do is to demonstrate that what I said about this is true.
So I'm going to actually demonstrate that what I said about this is true using the configuration in this demonstration.
Because it's much too hard for me to remember matrix transformations for generalized rotation in three dimensions.
So here's how it's going to work.
The z-axis is going up that way.
Or, it's going to be pointing toward you.",I am just a B Tech first year student.... just a small query.... if we have orthographic projections... we take views from mutually perpendicular directions... if my coordinate system is set with axis parallel to our viewing direction then won't the computation be much easier.... view along x axis and view along y axis will always have same z coordinate and that along x and Z would have same y coordinate... so won't these condition actually give the object in 3d(I mean a 3 dimensional array with known XYZ coordinate of all vertices)... later then we can rotate and check if we can generate similar 2d images from 3d view?)....
"Okay? Cool.
Um.
All right.
Great.
So you've now seen your first learning algorithm, um, and, you know, gradient descent and linear regression is definitely still one of the most widely used learning algorithms in the world today, and if you implement this- if you, if you, if you implement this today, right, you could use this for, for some actually pretty, pretty decent purposes.
Um, now, I wanna I give this algorithm one other name.
Uh, so our gradient descent algorithm here, um, calculates this derivative by summing over your entire training set m.
And so sometimes this version of gradient descent, has another name, which is batch gradient descent.
Oops.
All right and the term batch, um, you know- and again- I think in machine learning, uh, our whole committee, we just make up names and stuff and sometimes the names aren't great.","I didn't understand the linear regression algorithm is there any way to understand it better ??
I have been wondering why we need such an algorithm when we could just derive the least squares estimators. Have you seen any research comparing the gradient descent method of selection of parameters with the typical method of deriving the least squares estimators of the coefficient parameters?"
"If batch gradient descent doesn't cost too much, I would almost always just use batch gradient descent because it's one less thing to fiddle with, right? It's just one less thing to have to worry about, uh, the parameters oscillating, but your dataset is too large that batch gradient descent becomes prohibit- prohibitively slow, then almost everyone will use, you know, stochastic gradient descent or whatever more like stochastic gradient descent, okay? All right, so, um, gradient descent, both batch gradient descent and stochastic gradient descent is an iterative algorithm meaning that you have to take multiple steps to get to, you know, get near hopefully the global optimum.
It turns out there is another algorithm, uh, and- and, um, for many other algorithms we'll talk about in this course including generalized linear models and neural networks and a few other algorithms, uh, you will have to use gradient descent and so- and so we'll see gradient descent, you know, as we develop multiple different algorithms later this quarter.",I have been wondering why we need such an algorithm when we could just derive the least squares estimators. Have you seen any research comparing the gradient descent method of selection of parameters with the typical method of deriving the least squares estimators of the coefficient parameters?
"So here's some graphs to show you how fast goes, boom.
That gives you the curves of how well the robot arm can go along a straight line, after no practice with just some stuff recorded in the memory.
And then with a couple of practice runs do give it better values amongst which to interpolate.
So I think that's pretty cool.
So simple, but yet so effective.
But you still might say, well, I don't know, it might be something that can be done in special cases.
I wonder if old Winston uses something like that when he drinks his coffee? Well we' ought to do the numbers and see if it's possible.
But I don't want to use coffee, it's the baseball season.
We're approaching the World Series.
We might as well talk about professional athletes.
So let's suppose that this is a baseball pitcher.
And I want to know how much memory I'll need to record a whole lot of pitches.
Is there a good pitcher these days? The Red Socks suck so I don't do Red Socks.
Clay Buchholz, I guess.
I don't know, some pitcher.
And what we're going to do, is we're going to say for each of these little segments were going to record 100 bytes per joint.
And we've got joints all over the place.
I don't know how many are involved in doing a baseball pitch, but let's just say we have had 100 joints.
And then we have to divide the pitch up into a bunch of segments.
So let's just say for sake of argument that there are 100 segments.
And how many pitches does a pitcher throw in a day? What? SPEAKER 2: In a day? PROF.
PATRICK WINSTON: In a day, yeah.","Can anyone please help me? 1. Regarding the Robotic Hand Solutions Table: If I understand correctly in the case of the robotic hand, we start from an empty table and drop a ball from a fixed height on the robotic hand. When the robotic hand feels the touch of the ball, we give a random blow as we record the robotic hand movements. Now, only if the robotic arm detects after X seconds that the ball has hit the surface again, it realizes that the previous movement was successful and records the movements it made for the successful result in the table for future use. I guess there is a way to calculate where on the surface the ball fell and then in case the robotic hand feels that the ball touched a region close to the area it remembers it will try the movement closest to these points in the table. Now there are a few things I do not understand: A. The ball has an angle, so that touching the same point on the board at different angles will lead to the need to use a different response, our table can only hold data of the desired point and effect and do not know the intensity of the fall of the ball or an angle, the data in the table will be destroyed or never fully filled ? B. How do we update the table? It is possible that we will drop a ball and at first when the table is empty we will try to give a random hit when the result of this is that the ball will fly to the side so we will not write anything in the table, now this case may repeat itself over and over and we will always be left with an empty table? It seems to me that I did not quite understand the professor's words and therefore I have these questions. I would be very happy if any of you could explain to me exactly what he meant by this method of solution. 2. In relation to finding properties by vector: If I understand correctly, we fill in the data we know in advance, and then when a new figure is reached, and we do not know much about it, we measure the angle it creates with the X line (the angle of the vector) and check which group is the most suitable angle. Now there is a point I do not understand. Suppose I have 2 sets of data, 1 group have data with very low Y points and very high X points and a second group having data with high X and Y points when I get a new data with a low Y and low X , the method of the vector angle will probably associate them with group 1 although it appears on paper that the point is more suitable for group 2. It seems that if we used a simple surface distribution here (as in the first case presented by the professor) we would get more accurate results than the method of pairing according to vectors angle?"
"And then they said, maybe what we ought to do is we ought to think about generalizing this guy here so that we don't care about it.
So now we don't care about that guy.
And then he went down through here saying, well, let's see when we have to stop generalizing.
Because we've screwed everything up and we can no longer keep the z sound words separated from the s sound words.
So that eventually distilled itself down to the following algorithm.
First thing they did was to collect positive and negative examples.
And there's a positive example and a negative example.
That's not enough to do it right.
But that's enough to illustrate the idea.
So the next thing they did was something that's extremely common in learning anything.
And that is to pick a positive example to start from.
It's actually not a bad idea in learning anything to start with a positive example.
So they picked a positive example and they called that a seed.","When Mr. Winston says that neural networks weren't a good approach to this problem, I guess it's because he actually tried them, and I'm very intrigued about the result. Or did he just know it wasn't a good method? In that case, how did he come to that conclusion?"
"So 0 0 0.
Um, and I should say that this alarm system you bought was, uh, is really good- really good.
So it's, um, it detects earthquakes and burglaries, uh, perfectly.
Okay.
So if there is no burglary and no earthquake, then the probability of the alarm not going off should be 1.
Right? It's perfect.
And this is, uh, the failure case which is 0, because, um, if there is a burglary- no burglary and no earthquake, the alarm shouldn't be going off.
And, um, this is- I'm not gonna bother you with the details, you can, uh, you can just fill in the rest of this.
So there is a burglary and earthquake that should be, uh, maybe someone should check them during this, right? Um, this should be a 1, this should be a 0, and this should be a 1.
Something like that? Okay? So now I've defined the local conditional distributions so remember I'm not defining the joint distribution yet.","No idea. I feel like it should just be 0.5. Both mathametically and intuitively, if there is an alarm and we have no other information, and the probability of an earthquake = probability of burgalary, then it should be equally as likely for it to be an earthquake that triggered the alarm as it is a burgalary to trigger the alarm."
"But this last line that we have here, where we have the case that the two letters are not equal is the most interesting line of code.
That's the most interesting aspect of this algorithm.
So does someone tell me what this line is going to be out here? Yeah, go ahead.
AUDIENCE: If x of L i plus 1j or L i [INAUDIBLE].
PROFESSOR: Beautiful.
That's exactly right.
So what you're going to do is you're going to say, I need to look at two different subproblems, and I need to evaluate both of these subproblems.
And the first subproblem is I'm going to-- since these two letters are different, I'm going to have to drop one of them.
And I'm going to look inside.
I'm going to say-- in this case, I'm going to drop the i-th letter, and I'm going to get L i plus 1j.
And in the second case, I'm going to drop the j-th letter, and I'm going to get ij minus 1.
And that's it.","I am not sure what you mean by sum(i,j) here. It looks to me as if the point that your and Praveen's point can be made more clearly by omitting the references to sum, like so (using C ""?"" syntax): V(i,j) = (i == j) ? v[i] : max(v[i]-V(i+1,j), v[j]-V(i,j-1))."
"So if I have this list L is equal to 9,6,0,3, sorted-- you can think of it as giving me the sorted version of L-- gives you back the sorted version of L.
So it returns a new list that's the sorted version of the input list and does not mutate L.
So it keeps L the exact same way.
So this will be replaced by the sorted version of the list, which you can assign to a variable, and then do whatever you want with it.
Like L2 is equal to sorted L, for example.
And it keeps L the same.
On the other hand, if you just want to mutate L, and you don't care about getting another copy that's sorted, you just do L.sort.","I'll make a comment on it, since for some reason this really confused me: why .sort() returns none. (If I get something wrong, feel free to correct me and I will edit this comment, I am new to coding.) The reason that list.sort() and list.reverse() return None, while sorted(list) returns a list's values, is basically that the methods are completed by different means. Code that returns None is completed ""in-place,"" which means that the original variable itself is not duplicated, only changed. Python does not want you to think that a new variable has been/could be created after running the method .sort() or .reverse() (or any other in-place method), and so it returns None. It is basically telling you that any method that is done in-place CANNOT generate a new variable because it has not duplicated the old variable. Meanwhile, sorted(list) is creating a new list entirely, and so you can assign it to a new variable name. ( sortedList = sorted(originalList) ) So basically, don't assign in-place methods to any new variables.
For the last L1, L2 question, I've tried it with the first code but got L1 = [2, 3]. Is that because Python has been updated to fix that issue??"
"Why can't we use it? AUDIENCE: Local maxima.
PATRICK WINSTON: The remark is local maxima.
And that is certainly true.
But it's not our first obstacle.
Why doesn't gradient ascent work? AUDIENCE: So you're using a step function.
PATRICK WINSTON: Ah, there's something wrong with our function.
That's right.
It's non-linear, but rather, it's discontinuous.
So gradient ascent requires a continuous space, continuous surface.
So too bad our side.
It isn't.
So what to do? Well, nobody knew what to do for 25 years.
People were screwing around with training neural nets for 25 years before Paul Werbos sadly at Harvard in 1974 gave us the answer.
And now I want to tell you what the answer is.
The first part of the answer is those thresholds are annoying.
They're just extra baggage to deal with.
What we really like instead of c being a function of xw and t was we'd like c prime to be a function f prime of x and the weights.","Is Conway's Game of Life hard to do with neural nets?
why does he say starting with the same weights, they would stay the same? They won't have the same derivative since one of them goes through an extra sigmoid function."
